name,city,country,qty_flights,qty_airlines
AARS,AARS,DENMARK,79,2
"ABA SEGUD",JIMMA,ETHIOPIA,119,3
ABADAN,ABADAN,IRAN,132,2
"ABDULRACHMAN SALEH AERO",MALANG,INDONESIA,120,2
"ABRAHAM GONZALEZ INTL","CIUDAD JUAREZ",MEXICO,80,2
"ABU SIMBEL","ABU SIMBEL",EGYPT,93,2
ABUMUMBAZI,ABUMUMBAZI,CONGO,93,2
"ACHMAD YANI",SEMARANG,INDONESIA,80,1
ADABA,ADABA,ETHIOPIA,106,2
ADANA,ADANA,TURKEY,133,4
ADDINGTON,ELIZABETHTOWN,"UNITED STATES",80,2
ADIYAMAN,ADIYAMAN,TURKEY,80,2
ADUSTINA,ADUSTINA,BRAZIL,94,2
AEROCLUB,ARACAJU,BRAZIL,331,6
AGHAJARI,AGHAJARI,IRAN,120,3
AGRI,AGRI,TURKEY,93,2
AGUNI,AGUNI,JAPAN,79,2
AHMOSUO,AHMOSUO,FINLAND,81,2
"AIKEN MUN",AIKEN,"UNITED STATES",241,4
AKITA,AKITA,JAPAN,107,2
AKLAVIK,AKLAVIK,CANADA,94,2
AKOBO,AKOBO,SUDAN,79,2
AKTAU,AKTAU,KAZAKHSTAN,237,5
AKTYUBINSK,AKTYUBINSK,KAZAKHSTAN,93,1
AKULIVIK,AKULIVIK,CANADA,93,2
"AL BAHA","AL BAHA","SAUDI ARABIA",93,1
"AL JOUF","AL JOUF","SAUDI ARABIA",106,3
"ALAMOGORDO-WHITE SANDS REGL",ALAMOGORDO,"UNITED STATES",159,3
"ALBANO MACHADO",HUAMBO,ANGOLA,79,1
"ALBANY INTL",ALBANY,"UNITED STATES",121,2
"ALBERTO DELGADO",TRINIDAD,CUBA,92,2
"ALBERTO LIERAS CAMARGO",SOGAMOSO,COLOMBIA,133,4
ALBERTUS,FREEPORT,"UNITED STATES",133,3
"ALBION MUN",ALBION,"UNITED STATES",279,5
AL-BOUGH,AL-BOUGH,YEMEN,134,2
ALDERNEY,ALDERNEY,"UNITED KINGDOM",92,2
"ALEJANDRO VELAZCO ASTETE",CUZCO,PERU,121,2
"ALERT BAY","ALERT BAY",CANADA,79,2
"ALEXANDRIA ARMY",ALEXANDRIA,GREECE,92,2
ALEXANDRIA,ALEXANDRIA,CANADA,159,3
"ALFEREZ DAVID FIGUEROA FERNAN*",HUANUCO,PERU,119,2
"ALFONSO BONILLA ARAGON INTL",CALI,COLOMBIA,106,2
"ALFREDO VASQUEZ COBO",LETICIA,COLOMBIA,80,1
"ALGONA MUN",ALGONA,"UNITED STATES",120,2
ALINDAO,ALINDAO,"CENTRAL AFRICAN REP",132,3
ALMA,ALMA,CANADA,106,2
"ALMAZA AB",ALMAZA,EGYPT,80,2
ALMEIRIM,ALMEIRIM,BRAZIL,80,1
ALMERIA,ALMERIA,SPAIN,132,3
"ALMIRANTE PADILLA",RIOHACHA,COLOMBIA,79,2
ALPHONSE,ALPHONSE,SEYCHELLES,80,1
"ALTENSTADT ARMY",ALTENSTADT,GERMANY,80,2
"ALTO PARNAIBA","ALTO PARNAIBA",BRAZIL,79,2
"ALTURAS MUN",ALTURAS,"UNITED STATES",107,2
"ALTUS AFB",ALTUS,"UNITED STATES",147,2
"ALVA REGL",ALVA,"UNITED STATES",106,2
"ALVERCA AB",ALVERCA,PORTUGAL,201,4
ALYKEL,NORILSK,RUSSIA,133,2
AMAKUSA,AMAKUSA,JAPAN,106,2
AMAMI,AMAMI,JAPAN,78,2
AMARAIS,CAMPINAS,BRAZIL,147,2
"AMARILLO INTL",AMARILLO,"UNITED STATES",81,2
AMBOULI,DJIBOUTI,DJIBOUTI,212,3
AMBRI,AMBRI,SWITZERLAND,93,2
"AMEDEE AAF","SIERRA ARMY DEPOT","UNITED STATES",80,2
"ANAKTUVUK PASS","ANAKTUVUK PASS","UNITED STATES",145,3
ANALALAVA,ANALALAVA,MADAGASCAR,79,1
ANCENIS,ANCENIS,FRANCE,93,2
ANDERSTORP,ANDERSTORP,SWEDEN,80,2
ANDIRA,ANDIRA,BRAZIL,79,1
ANDRADINA,ANDRADINA,BRAZIL,133,3
ANDREW,ANDREW,CANADA,132,2
ANDREWSFIELD,ANDREWSFIELD,"UNITED KINGDOM",145,3
ANDREWS-MURPHY,ANDREWS,"UNITED STATES",79,1
"ANDROS TOWN INTL","ANDROS I",BAHAMAS,107,2
"ANGEL S ADAMI INTL",MONTEVIDEO,URUGUAY,106,2
ANKAVANDRA,ANKAVANDRA,MADAGASCAR,145,3
"ANKENY REGL",ANKENY,"UNITED STATES",79,2
"ANN ARBOR MUN","ANN ARBOR","UNITED STATES",107,2
"ANOKA CO-BLAINE",MINNEAPOLIS,"UNITED STATES",105,2
ANSONGO,ANSONGO,MALI,171,3
"ANSPACH/ TAUNUS","ANSPACH/ TAUNUS",GERMANY,132,2
"ANTONIO MACEO INTL","SANTIAGO DE CUBA",CUBA,80,2
ANTSALOVA,ANTSALOVA,MADAGASCAR,146,3
AOSTA,AOSTA,ITALY,107,2
"APPLE RIVER","APPLE RIVER",CANADA,93,2
"APPLE VALLEY","APPLE VALLEY","UNITED STATES",106,2
"APPLETON MUN",APPLETON,"UNITED STATES",145,3
"APT ESTADUAL ARTHUR SIQUEIRA","BRAGANCA PAULISTA",BRAZIL,82,2
ARACUAI,ARACUAI,BRAZIL,197,5
ARAGUAIANA,ARAGUAIANA,BRAZIL,93,2
ARAGUAINA,ARAGUAINA,BRAZIL,145,3
ARAK,ARAK,IRAN,80,1
ARANDIS,ARANDIS,NAMIBIA,92,2
ARAPONGAS,ARAPONGAS,BRAZIL,134,2
ARAR,ARAR,"SAUDI ARABIA",79,2
ARARACUARA,ARARACUARA,COLOMBIA,92,3
ARAXA,ARAXA,BRAZIL,173,3
ARBRA,ARBRA,SWEDEN,132,3
ARCHERFIELD,BRISBANE,AUSTRALIA,80,1
"AREA DE MATERIAL","RIO CUARTO",ARGENTINA,107,2
ARENS,WINAMAC,"UNITED STATES",93,2
AREZZO,AREZZO,ITALY,132,2
"ARLINGTON MUN",ARLINGTON,"UNITED STATES",107,4
ARMOR,"ST BRIEUC",FRANCE,302,5
ARMSTRONG,WAPAKONETA,"UNITED STATES",79,2
ARNBRUCK,ARNBRUCK,GERMANY,79,1
ARRACHART,ANTSIRANANA,MADAGASCAR,267,6
"ARTESIA MUN",ARTESIA,"UNITED STATES",214,4
"ARTHUR'S TOWN","CAT ISLAND",BAHAMAS,225,6
ARUSHA,ARUSHA,TANZANIA,78,2
ARVIDSJAUR,ARVIDSJAUR,SWEDEN,79,1
ARVIKA,ARVIKA,SWEDEN,106,2
ASCHERSLEBEN,ASCHERSLEBEN,GERMANY,79,2
ASELE,ASELE,SWEDEN,145,3
ASHERN,ASHERN,CANADA,94,2
"ASHEVILLE REGL",ASHEVILLE,"UNITED STATES",80,1
"ASPEN-PITKIN CO/ SARDY",ASPEN,"UNITED STATES",147,3
"ASSAB INTL",ASSAB,ERITREA,119,2
ASSUMPTION,"ASSUMPTION ISLAND",SEYCHELLES,80,1
ATAR,ATAR,MAURITANIA,81,2
"ATKINSON MUN",PITTSBURG,"UNITED STATES",106,2
"ATLANTIC MUN",ATLANTIC,"UNITED STATES",187,4
"ATLAS AIRFIELD",GANDERKESEE,GERMANY,93,2
"ATOKA MUN",ATOKA,"UNITED STATES",118,2
ATSINANANA,ILAKA,MADAGASCAR,133,3
"AUBURN MUN",AUBURN,"UNITED STATES",145,2
"AUBURN-LEWISTON MUN",AUBURN-LEWISTON,"UNITED STATES",107,2
AUERBACH,AUERBACH,GERMANY,120,2
AUGSBURG,AUGSBURG,GERMANY,79,1
"AUGUSTA REGL AT BUSH",AUGUSTA,"UNITED STATES",133,2
"AUSTIN MUN",AUSTIN,"UNITED STATES",106,2
"AVA MARTIN MEML",AVA,"UNITED STATES",79,1
AVALON,AVALON,AUSTRALIA,146,2
AVESTA,AVESTA,SWEDEN,172,4
AVY,PONS,FRANCE,79,2
AWASA,AWASA,ETHIOPIA,118,2
AXUM,AXUM,ETHIOPIA,198,4
