airlinename,qty_airplanes,status
"Afghanistan Airlines",71,"Estrutura adequada"
"Albania Airlines",78,"Estrutura adequada"
"American Samoa Airli",27,"Estrutura adequada"
"Angola Airlines",35,"Estrutura adequada"
"Argentina Airlines",37,"Estrutura adequada"
"Australia Airlines",68,"Estrutura adequada"
"Azerbaijan Airlines",14,"Estrutura adequada"
"Bahamas Airlines",72,"Estrutura adequada"
"Belarus Airlines",75,"Estrutura adequada"
"Bhutan Airlines",69,"Estrutura adequada"
"Bolivia Airlines",7,"Estrutura reduzida"
"Brazil Airlines",82,"Estrutura adequada"
"Bulgaria Airlines",19,"Estrutura adequada"
"Caicos Is Airlines",50,"Estrutura adequada"
"Central African Rep ",71,"Estrutura adequada"
"Chad Airlines",52,"Estrutura adequada"
"Colombia Airlines",74,"Estrutura adequada"
"Croatia Airlines",79,"Estrutura adequada"
"Cuba Airlines",74,"Estrutura adequada"
"Cyprus Airlines",72,"Estrutura adequada"
"Czech Airlines",66,"Estrutura adequada"
"Dakhla And Laayoune ",13,"Estrutura adequada"
"Denmark Airlines",75,"Estrutura adequada"
"Djibouti Airlines",89,"Estrutura adequada"
"Dominica Airlines",31,"Estrutura adequada"
"Ecuador Airlines",86,"Estrutura adequada"
"Egypt Airlines",16,"Estrutura adequada"
"El Salvador Airlines",31,"Estrutura adequada"
"Equatorial Guinea Ai",81,"Estrutura adequada"
"Eritrea Airlines",73,"Estrutura adequada"
"Estonia Airlines",25,"Estrutura adequada"
"Ethiopia Airlines",30,"Estrutura adequada"
"Falkland Is Airlines",64,"Estrutura adequada"
"Fiji Is Airlines",82,"Estrutura adequada"
"France Airlines",41,"Estrutura adequada"
"Gabon Airlines",27,"Estrutura adequada"
"Georgia Airlines",68,"Estrutura adequada"
"Ghana Airlines",83,"Estrutura adequada"
"Gibraltar Airlines",45,"Estrutura adequada"
"Greece Airlines",55,"Estrutura adequada"
"Guadeloupe Airlines",41,"Estrutura adequada"
"Haiti Airlines",19,"Estrutura adequada"
"Honduras Airlines",14,"Estrutura adequada"
"Hungary Airlines",12,"Estrutura adequada"
"Iceland Airlines",89,"Estrutura adequada"
"India Airlines",84,"Estrutura adequada"
"Iran Airlines",42,"Estrutura adequada"
"Isla De Pascua Airli",35,"Estrutura adequada"
"Italy Airlines",14,"Estrutura adequada"
"Ivory Coast Airlines",55,"Estrutura adequada"
"Jamaica Airlines",6,"Estrutura reduzida"
"Jerusalem Airlines",20,"Estrutura adequada"
"Johnston Atoll Airli",16,"Estrutura adequada"
"Kazakhstan Airlines",65,"Estrutura adequada"
"Kenya Airlines",85,"Estrutura adequada"
"Kiribati Airlines",66,"Estrutura adequada"
"Korea Airlines",39,"Estrutura adequada"
"Kuwait Airlines",53,"Estrutura adequada"
"Kyrgyzstan Airlines",7,"Estrutura reduzida"
"Laos Airlines",20,"Estrutura adequada"
"Lebanon Airlines",69,"Estrutura adequada"
"Liberia Airlines",65,"Estrutura adequada"
"Luxembourg Airlines",83,"Estrutura adequada"
"Macau Airlines",88,"Estrutura adequada"
"Melilla Airlines",33,"Estrutura adequada"
"Micronesia Airlines",78,"Estrutura adequada"
"Moldova Airlines",61,"Estrutura adequada"
"Myanmar Airlines",82,"Estrutura adequada"
"Namibia Airlines",85,"Estrutura adequada"
"Nepal Airlines",75,"Estrutura adequada"
"Nicaragua Airlines",84,"Estrutura adequada"
"Northern Mariana Is ",29,"Estrutura adequada"
"Oman Airlines",90,"Estrutura adequada"
"Pakistan Airlines",1,"Estrutura reduzida"
"Peru Airlines",7,"Estrutura reduzida"
"Philippines Airlines",1,"Estrutura reduzida"
"Poland Airlines",23,"Estrutura adequada"
"Puerto Rico Airlines",84,"Estrutura adequada"
"Qatar Airlines",24,"Estrutura adequada"
"Reunion Airlines",7,"Estrutura reduzida"
"Romania Airlines",89,"Estrutura adequada"
"Russia Airlines",41,"Estrutura adequada"
"Rwanda Airlines",60,"Estrutura adequada"
"San Andres Airlines",69,"Estrutura adequada"
"Senegal Airlines",8,"Estrutura reduzida"
"Sierra Leone Airline",26,"Estrutura adequada"
"Slovakia Airlines",4,"Estrutura reduzida"
"Solomon Is Airlines",66,"Estrutura adequada"
"Spain Airlines",20,"Estrutura adequada"
"Sri Lanka Airlines",7,"Estrutura reduzida"
"St Kitts Airlines",82,"Estrutura adequada"
"Sudan Airlines",89,"Estrutura adequada"
"Swaziland Airlines",34,"Estrutura adequada"
"Syria Airlines",89,"Estrutura adequada"
"Taiwan Airlines",27,"Estrutura adequada"
"Thailand Airlines",36,"Estrutura adequada"
"Togo Airlines",56,"Estrutura adequada"
"Trinidad Airlines",7,"Estrutura reduzida"
"Tunisia Airlines",59,"Estrutura adequada"
"Uganda Airlines",50,"Estrutura adequada"
"Ukraine Airlines",47,"Estrutura adequada"
"United Arab Emirates",25,"Estrutura adequada"
"Uruguay Airlines",68,"Estrutura adequada"
"Uzbekistan Airlines",80,"Estrutura adequada"
"Vanuatu Airlines",28,"Estrutura adequada"
"Venezuela Airlines",4,"Estrutura reduzida"
"Vietnam Airlines",60,"Estrutura adequada"
"Wake I Airlines",86,"Estrutura adequada"
"Western Samoa Airlin",28,"Estrutura adequada"
"Yemen Airlines",69,"Estrutura adequada"
"Yugoslavia Airlines",22,"Estrutura adequada"
"Zambia Airlines",46,"Estrutura adequada"
"Zimbabwe Airlines",43,"Estrutura adequada"
