name,country,qty_flights,mean_flights
"A CORUNA",SPAIN,27,83.8966
"A R S SPORT STRIP","UNITED STATES",27,76.4391
"A. BOUSSOUF AIN BOUCHEKIF",ALGERIA,53,71.6875
"A.T.D. YILMA INTL",ETHIOPIA,53,82.3103
AALBORG,DENMARK,54,86.3667
AARHUS,DENMARK,26,86.3667
AARS,DENMARK,79,86.3667
"ABA SEGUD",ETHIOPIA,119,82.3103
ABADAN,IRAN,132,80.8400
ABAKAN,RUSSIA,40,74.4237
ABBEYSHRULE,IRELAND,53,80.4737
ABBS,YEMEN,66,74.3333
"ABDULRACHMAN SALEH AERO",INDONESIA,120,78.4483
"ABEL SANTA MARIA",CUBA,67,67.4375
ABENGOUROU,"IVORY COAST",13,64.5333
ABERPORTH,"UNITED KINGDOM",53,83.8865
"ABILENE REGL","UNITED STATES",53,76.4391
ABOISSO,"IVORY COAST",26,64.5333
ABONG-M'BANG,CAMEROON,54,86.2000
ABQAIQ,"SAUDI ARABIA",27,77.2121
"ABRAHAM GONZALEZ INTL",MEXICO,80,71.3061
"ABU DHABI INTL","UNITED ARAB EMIRATES",67,63.7778
"ABU SIMBEL",EGYPT,93,80.6842
ABUMUMBAZI,CONGO,93,81.3408
ABUMUSA,IRAN,67,80.8400
ABUNA,BRAZIL,66,75.7333
"ACADIANA REGL","UNITED STATES",27,76.4391
"ACHMAD YANI",INDONESIA,80,78.4483
ACHMER,GERMANY,39,76.3204
"ADA MUN","UNITED STATES",13,76.4391
ADABA,ETHIOPIA,106,82.3103
ADANA,TURKEY,133,75.3191
ADDINGTON,"UNITED STATES",80,76.4391
ADDISON,"UNITED STATES",14,76.4391
"ADEN INTL",YEMEN,40,74.3333
ADISUTJIPTO,INDONESIA,40,78.4483
ADIYAMAN,TURKEY,80,75.3191
ADUSTINA,BRAZIL,94,75.7333
"AEROCLUB ARGENTINO",ARGENTINA,27,67.1549
AEROCLUB,BRAZIL,53,75.7333
AEROCLUB,BRAZIL,331,75.7333
AEROCLUB,BRAZIL,52,75.7333
"AERODROMO NACIONAL AVIACAO",BRAZIL,54,75.7333
"AFTON MUN","UNITED STATES",54,76.4391
AGARTALA,INDIA,52,63.8654
AGHAJARI,IRAN,120,80.8400
"AGNES LAKE",CANADA,66,74.0068
AGRI,TURKEY,93,75.3191
AGUALEGUAS,MEXICO,67,71.3061
"AGUAS CLARAS",COLOMBIA,41,88.6667
AGUENAR,ALGERIA,27,71.6875
AGUNI,JAPAN,79,61.3077
AHMOSUO,FINLAND,81,76.8909
AHWAZ,IRAN,53,80.8400
"AIKEN MUN","UNITED STATES",241,76.4391
AILERTCHEN,GERMANY,39,76.3204
"AINSWORTH MUN","UNITED STATES",40,76.4391
AIOUN-EL-ATROUSS,MAURITANIA,26,81.9231
AIRBORNE,"UNITED STATES",66,76.4391
AIRDRIE,CANADA,67,74.0068
AIRE-SUR-L'ADOUR,FRANCE,54,76.2206
AKETI,CONGO,53,81.3408
"AKHISAR AB",TURKEY,67,75.3191
"AKINCI AB",TURKEY,67,75.3191
